setting	config_id	quant	normalization	imputation	de_method	log2fc	fdr_method	project_count	eligible_projects	eligible_project_rate	failed_projects	failure_rate	median_benchmark_rank	mean_benchmark_rank	rank_iqr	win_frequency
DIA	pibaq__deqms|bh|median|minprob|fc0.5|a0.05|none|k2	pibaq	median	minprob	deqms	0.5	bh	5	5	1.0	0	0.0	140.6	146.32	81.60000000000001	0.0
DIA	maxlfq__limma|bh|median|qrilc|fc0.5|a0.05|none|k2	maxlfq	median	qrilc	limma	0.5	bh	5	5	1.0	0	0.0	140.8	117.9	42.89999999999999	0.0
DIA	top3__limma|bh|none|none|fc0.5|a0.05|none|k2	top3	none	none	limma	0.5	bh	5	5	1.0	0	0.0	140.9	129.3	73.79999999999998	0.0
DIA	top3__limma|bh|none|seqknn|fc0.5|a0.05|none|k2	top3	none	seqknn	limma	0.5	bh	5	5	1.0	0	0.0	141.4	136.6	56.19999999999999	0.0
DIA	maxlfq__limma|bh|median|impseq|fc0.5|a0.05|none|k2	maxlfq	median	impseq	limma	0.5	bh	5	5	1.0	0	0.0	141.7	147.16	39.0	0.0
DIA	sum__rots|bh|none|knn|fc0.5|a0.05|none|k2	sum	none	knn	rots	0.5	bh	5	5	1.0	0	0.0	142.2	164.32	77.69999999999999	0.0
DIA	pibaq__rots|bh|none|seqknn|fc0.5|a0.05|none|k2	pibaq	none	seqknn	rots	0.5	bh	5	5	1.0	0	0.0	142.2	166.39999999999998	79.69999999999999	0.0
DIA	pibaq__deqms|bh|median|none|fc0.5|a0.05|none|k2	pibaq	median	none	deqms	0.5	bh	5	5	1.0	0	0.0	143.0	125.4	100.2	0.0
DIA	top3__limma|bh|none|impseqrob|fc0.5|a0.05|none|k2	top3	none	impseqrob	limma	0.5	bh	5	5	1.0	0	0.0	143.1	145.02	71.6	0.0
DIA	maxlfq__limma|bh|median|minprob|fc0.5|a0.05|none|k2	maxlfq	median	minprob	limma	0.5	bh	5	5	1.0	0	0.0	143.2	126.69999999999997	37.89999999999999	0.0
DIA	top3__limma|bh|none|minprob|fc0.5|a0.05|none|k2	top3	none	minprob	limma	0.5	bh	5	5	1.0	0	0.0	144.3	139.54000000000002	80.0	0.0
DIA	top3__limma|bh|none|impseq|fc0.5|a0.05|none|k2	top3	none	impseq	limma	0.5	bh	5	5	1.0	0	0.0	145.1	143.61999999999998	72.39999999999999	0.0
DIA	pibaq__deqms|bh|median|mindet|fc0.5|a0.05|none|k2	pibaq	median	mindet	deqms	0.5	bh	5	5	1.0	0	0.0	145.8	145.16000000000003	82.19999999999999	0.0
DIA	pibaq__limrots|bh|none|knn|fc0.5|a0.05|none|k2	pibaq	none	knn	limrots	0.5	bh	5	5	1.0	0	0.0	145.8	170.07999999999998	61.79999999999998	0.0
DIA	pibaq__rots|bh|none|knn|fc0.5|a0.05|none|k2	pibaq	none	knn	rots	0.5	bh	5	5	1.0	0	0.0	148.2	168.0	101.39999999999999	0.0
DIA	pibaq__deqms|bh|median|knn|fc0.5|a0.05|none|k2	pibaq	median	knn	deqms	0.5	bh	5	5	1.0	0	0.0	150.2	132.64	94.2	0.0
DIA	sum__rots|bh|none|seqknn|fc0.5|a0.05|none|k2	sum	none	seqknn	rots	0.5	bh	5	5	1.0	0	0.0	150.6	170.21999999999997	80.5	0.0
DIA	sum__rots|bh|none|impseq|fc0.5|a0.05|none|k2	sum	none	impseq	rots	0.5	bh	5	5	1.0	0	0.0	151.1	174.22	54.900000000000006	0.0
DIA	maxlfq__rots|bh|none|minprob|fc0.5|a0.05|none|k2	maxlfq	none	minprob	rots	0.5	bh	5	5	1.0	0	0.0	152.0	167.7	41.29999999999998	0.0
DIA	sum__limrots|bh|none|none|fc0.5|a0.05|none|k2	sum	none	none	limrots	0.5	bh	5	5	1.0	0	0.0	153.4	166.14000000000001	65.10000000000002	0.0
DIA	sum__deqms|bh|median|minprob|fc0.5|a0.05|none|k2	sum	median	minprob	deqms	0.5	bh	5	5	1.0	0	0.0	154.2	152.92000000000002	95.19999999999999	0.0
DIA	sum__rots|bh|none|none|fc0.5|a0.05|none|k2	sum	none	none	rots	0.5	bh	5	5	1.0	0	0.0	154.2	168.82	48.599999999999994	0.0
DIA	sum__limrots|bh|none|mindet|fc0.5|a0.05|none|k2	sum	none	mindet	limrots	0.5	bh	5	5	1.0	0	0.0	154.2	172.01999999999998	69.70000000000002	0.0
DIA	pibaq__deqms|bh|median|seqknn|fc0.5|a0.05|none|k2	pibaq	median	seqknn	deqms	0.5	bh	5	5	1.0	0	0.0	154.8	133.59999999999997	94.6	0.0
DIA	sum__deqms|bh|median|qrilc|fc0.5|a0.05|none|k2	sum	median	qrilc	deqms	0.5	bh	5	5	1.0	0	0.0	154.8	152.38000000000002	98.39999999999999	0.0
DIA	sum__rots|bh|none|mindet|fc0.5|a0.05|none|k2	sum	none	mindet	rots	0.5	bh	5	5	1.0	0	0.0	155.8	167.45999999999998	56.79999999999998	0.0
DIA	top3__limrots|bh|none|knn|fc0.5|a0.05|none|k2	top3	none	knn	limrots	0.5	bh	5	5	1.0	0	0.0	156.2	179.88	61.400000000000006	0.0
DIA	sum__deqms|bh|median|mindet|fc0.5|a0.05|none|k2	sum	median	mindet	deqms	0.5	bh	5	5	1.0	0	0.0	156.8	152.35999999999999	95.20000000000002	0.0
DIA	sum__deqms|bh|median|none|fc0.5|a0.05|none|k2	sum	median	none	deqms	0.5	bh	5	5	1.0	0	0.0	157.2	140.42000000000002	105.4	0.0
DIA	sum__limrots|bh|none|impseq|fc0.5|a0.05|none|k2	sum	none	impseq	limrots	0.5	bh	5	5	1.0	0	0.0	157.3	170.44	78.70000000000002	0.0
DIA	maxlfq__limrots|bh|none|minprob|fc0.5|a0.05|none|k2	maxlfq	none	minprob	limrots	0.5	bh	5	5	1.0	0	0.0	158.0	169.61999999999998	32.89999999999998	0.0
DIA	sum__deqms|bh|median|knn|fc0.5|a0.05|none|k2	sum	median	knn	deqms	0.5	bh	5	5	1.0	0	0.0	158.2	141.72	102.6	0.0
DIA	sum__limrots|bh|none|impseqrob|fc0.5|a0.05|none|k2	sum	none	impseqrob	limrots	0.5	bh	5	5	1.0	0	0.0	159.1	173.51999999999998	70.5	0.0
DIA	sum__rots|bh|none|impseqrob|fc0.5|a0.05|none|k2	sum	none	impseqrob	rots	0.5	bh	5	5	1.0	0	0.0	159.2	177.88000000000002	50.400000000000006	0.0
